,do_level,h2o_level,blower_hz,cycle_id,do_level_scaled,h2o_level_scaled,blower_hz_scaled,cycle_id_scaled,pca 1,pca 2,kmeans_label1,kmeans_label2,sch_label
0,1.69395995,4.93111229,0.0,0,0.29574627762241645,0.6797149223495729,0.0,0.0,-0.28677581576676286,-0.11780922156154576,0,1,0
1,1.40186,4.930655000000001,0.0,0,0.24460074012875813,0.6794103671240785,0.0,0.0,-0.2888475586664442,-0.10682576318221819,0,1,0
2,1.13443005,4.92977142,0.0,0,0.19777482134769644,0.6788219026788842,0.0,0.0,-0.2907023622049735,-0.09702129477606432,0,1,0
3,0.92932099,4.93022823,0.0,0,0.1618610421138451,0.6791261382242895,0.0,0.0,-0.2922273336338463,-0.0888882617095376,0,1,0
4,0.88231099,4.92818737,0.0,0,0.15362977840573125,0.677766925082731,0.0,0.0,-0.292383180270513,-0.08818421236120853,0,1,0
5,0.73476702,4.92794323,0.0,0,0.12779541708660674,0.6776043277970869,0.0,0.0,-0.29342846046277987,-0.08264341929004604,0,1,0
6,0.62423003,4.92773008,0.0,0,0.10844083052648874,0.6774623698572362,0.0,0.0,-0.2942088333764319,-0.07850872014225206,0,1,0
7,0.51570398,4.92773008,0.0,0,0.08943835154861271,0.6774623698572362,0.0,0.0,-0.29499389940168297,-0.07433609770639417,0,1,0
8,0.43392399,4.92748642,0.0,0,0.07511900111813163,0.6773000922516821,0.0,0.0,-0.2955634932104509,-0.07132354642105498,0,1,0
9,0.34914601,4.92727327,0.0,0,0.060274714582900756,0.6771581343118314,0.0,0.0,-0.29615752815644364,-0.06817923274339922,0,1,0
10,0.25798699,4.92681551,0.0,0,0.04431313336628244,0.6768532660662485,0.0,0.0,-0.296775643089315,-0.06492182916851251,0,1,0
11,0.22440299,4.92681551,0.0,0,0.03843270876782899,0.6768532660662485,0.0,0.0,-0.2970185862111925,-0.0636305875552238,0,1,0
12,0.16031399,4.92635918,0.0,0,0.02721098020392109,0.6765493502009337,0.0,0.0,-0.29744100854734545,-0.061413202184845445,0,1,0
13,0.10765,4.92727327,0.0,0,0.017989725372790012,0.6771581343118314,0.0,0.0,-0.29790448487959625,-0.05889416552224661,0,1,0
14,0.158655,4.92748642,0.0,0,0.026920497664480042,0.6773000922516821,0.0,0.0,-0.2975547601169144,-0.06073997166117063,0,1,0
15,0.17713401,4.92614555,0.0,0,0.030156098693513725,0.6764070725809934,0.0,0.0,-0.2973000509254079,-0.06217539996869792,0,1,0
16,0.113843,4.92660236,0.0,0,0.019074094999344985,0.6767113081263987,0.0,0.0,-0.2977991255044243,-0.05949500410070255,0,1,0
17,0.0686425,4.92568874,0.0,0,0.011159667532027363,0.6761028370355882,0.0,0.0,-0.29804363301899706,-0.05825108114339879,0,1,0
18,0.1104319999999999,4.92501831,0.0,0,0.01847684248906255,0.6756563305302445,0.0,0.0,-0.2976808156360518,-0.06022027866036886,0,1,0
19,0.0839733,4.92593241,0.0,0,0.01384402953280065,0.6762651213011446,0.0,0.0,-0.2979547265607388,-0.05870878068772491,0,1,0
20,0.0599837,4.92523146,0.0,0,0.009643546149431822,0.6757982884700953,0.0,0.0,-0.298064993369403,-0.058165396293889574,0,1,0
21,0.0975893,4.92523146,0.0,0,0.01622813688548473,0.6757982884700953,0.0,0.0,-0.29779295841632786,-0.05961126086072767,0,1,0
22,0.0943746,4.92434788,0.0,0,0.015665255723126218,0.6752098240249018,0.0,0.0,-0.29773645664034276,-0.05996537170855098,0,1,0
23,0.0906536999999999,4.92501831,0.0,0,0.015013740957512055,0.6756563305302445,0.0,0.0,-0.29782388977693536,-0.059459840237307014,0,1,0
24,0.102746,4.90600538,0.0,0,0.017131054510748096,0.6629937155955958,0.0,0.0,-0.2960202083015661,-0.07020416055226598,0,1,0
25,0.114598,4.82751417,0.0,0,0.019206292491360005,0.6107185550609127,0.0,0.0,-0.2888494427855661,-0.11309634131381788,0,1,0
26,0.0428981,4.72166157,0.0,0,0.00665192565993277,0.540220703670756,0.0,0.0,-0.2798132999684798,-0.1675691212525558,0,1,0
27,0.0257711999999999,4.61513805,0.0,0,0.0036530737049764546,0.46927601943516395,0.0,0.0,-0.27032182104470875,-0.22450286515159137,3,1,0
28,0.0159116,4.50495863,0.0,0,0.0019266970264714817,0.3958965051160668,0.0,0.0,-0.2604477704773315,-0.28369259568989397,3,1,0
29,0.00580684,4.3975215,0.0,0,0.00015739380870503222,0.32434335644966694,0.0,0.0,-0.2508230268885358,-0.34139027347866396,3,1,0
30,0.00630682,4.29371023,0.0,0,0.0002449383147416792,0.25520503122115645,0.0,0.0,-0.24144885891832404,-0.39753535215133723,3,1,0
31,0.00579385,4.19145298,0.0,0,0.0001551193114583101,0.1871016836031849,0.0,0.0,-0.2322222925395162,-0.45280129951434067,3,1,0
32,0.00531056,4.08898211,0.0,0,7.049715792726663e-05,0.11885606502527457,0.0,0.0,-0.22297622899409666,-0.5081838822719011,3,1,0
33,0.00521508,3.98879719,0.0,0,5.3778990327804665e-05,0.05213288957474482,0.0,0.0,-0.2139337019406227,-0.5623454702912465,3,1,0
34,0.0101437,3.91731453,0.0,0,0.0009167607162815213,0.004525424650377197,0.0,0.0,-0.2074456480075278,-0.6011822678293433,3,1,0
35,0.0130411,3.92069674,50.22000122,1,0.0014240839127905435,0.006777977142713443,0.9996019016852867,0.02857142857142857,0.7821436803923932,-0.4843226357252248,1,0,1
36,1.12778997,3.9455905,50.20999908,1,0.19661216979434668,0.0233572259568402,0.9994028145104155,0.02857142857142857,0.7877636811279282,-0.513743657481522,1,0,1
