,do_level,h2o_level,blower_hz,cycle_id,do_level_scaled,h2o_level_scaled,blower_hz_scaled,cycle_id_scaled,pca 1,pca 2,kmeans_label3,kmeans_label4,sch_label
0,0.0130411,3.92069674,50.22000122,1,0.0014662350977733072,0.004232009456125674,0.999584621822123,0.0,-0.0698209025921366,-0.7140013331296672,6,1,0
1,1.12778997,3.9455905,50.20999908,1,0.2068178576236211,0.02085375655439936,0.999376893065481,0.0,0.0631344287328947,-0.6286969858454771,6,1,0
2,1.91454995,3.9593935,49.99000168,1,0.35174954832038186,0.03007012142645893,0.9948078921950164,0.0,0.16055209292873618,-0.5690429867656054,6,1,0
3,2.2902,3.95756555,40.27999878,1,0.4209493020455557,0.028849585733647043,0.7931463648209957,0.0,0.32157725264557646,-0.48853664877201675,6,1,0
4,2.61939001,3.9550972,26.42000008,1,0.48159049621227423,0.027201450239048075,0.5052959351116553,0.0,0.5253677293650376,-0.38718396700261043,3,3,0
5,2.60062003,3.95689511,26.42000008,1,0.47813281533767715,0.028401928002369736,0.5052959351116553,0.0,0.5224852464974811,-0.3875634274220636,3,3,0
6,2.49197006,3.97045398,26.44000053,1,0.45811804050602856,0.03745528547341337,0.5057113130818479,0.0,0.5046486734786413,-0.3883755962906004,3,3,0
7,2.24015999,3.98517132,26.44000053,1,0.41173126422443673,0.04728216190506984,0.5057113130818479,0.0,0.4687172201206805,-0.39794437959343837,3,3,0
8,2.20047998,3.99985766,17.39999962,1,0.40442167669792783,0.057088339408157385,0.31796467595436184,0.0,0.5649213131252477,-0.34082506769653337,3,3,0
9,0.00534111,4.1066246,50.20999908,1,4.7794153372257694e-05,0.1283774124584558,0.999376893065481,0.0,-0.12482705626738491,-0.6259000180274671,6,1,0
10,0.522044,4.12359667,50.20000076,1,0.09523136390688512,0.13970978873565176,0.999169243644246,0.0,-0.06472029506057651,-0.583741160885516,6,1,0
11,1.45416999,4.13401699,49.84000015,1,0.26694141412206246,0.14666751323058858,0.9916925957363264,0.0,0.05358404827506561,-0.5153111987633838,6,1,0
12,2.2632699,4.14148235,41.90000153,1,0.415988418138328,0.15165218914606182,0.8267912805104763,0.0,0.24572320840008016,-0.4121681956750944,6,1,0
13,2.92103004,4.14620495,26.40999985,1,0.5371566163010485,0.1548055039866605,0.5050882460227166,0.0,0.5077272764722712,-0.27625012004477756,3,3,0
14,3.04514003,4.15912437,26.43000031,1,0.5600193331909671,0.16343189597792174,0.5055036242005938,0.0,0.5193276811149341,-0.26204295222509083,3,3,0
15,3.36753988,4.16905737,26.44000053,1,0.6194096892445148,0.17006423331575915,0.5057113130818479,0.0,0.5568335116032155,-0.23614523343226315,3,3,0
16,3.66272998,4.17719316,26.43000031,1,0.6737876461278146,0.17549656028543614,0.5055036242005938,0.0,0.5916767337817235,-0.21277814413534693,3,3,1
17,3.75533009,4.18624258,26.44000053,1,0.6908458224994777,0.18153892474247524,0.5057113130818479,0.0,0.6005612074113671,-0.20243023177860145,3,3,1
18,0.00722797,4.30230284,21.94000053,1,0.00039537895287882407,0.25903321607813234,0.4122533725921398,0.0,0.14823669852114546,-0.36766191404655263,6,1,0
19,0.36901301,4.32424116,50.20000076,1,0.06704101275341251,0.27368159409740267,0.999169243644246,0.0,-0.14239326419456627,-0.498257208744043,6,1,0
20,1.47165,4.32311392,49.70999908,1,0.27016146530297824,0.2729289276380551,0.9889926774555134,0.0,0.00221919616439952,-0.42334280044670675,6,1,0
21,2.88908005,4.31110859,26.42000008,1,0.5312710016458081,0.2649128802795473,0.5052959351116553,0.0,0.4555640067640607,-0.19987498927245353,3,3,0
22,3.82392001,4.31519175,26.43000031,1,0.7034810013635011,0.2676392363174376,0.5055036242005938,0.0,0.5717384921807785,-0.13644297830417113,3,3,1
23,4.41234016,4.31247997,26.44000053,1,0.8118758477555883,0.26582856081698436,0.5057113130818479,0.0,0.6463578878365117,-0.0990538615869463,3,3,1
24,4.90549994,4.31473446,26.45000076,1,0.9027224623724662,0.2673339004127544,0.5059190021707866,0.0,0.7075594771242114,-0.06557103117156914,3,3,1
25,1.01162004,4.32357073,50.20000076,1,0.18541780577677403,0.27323394304319937,0.999169243644246,0.0,-0.06144216713149611,-0.4562701177316133,6,1,0
26,3.18712997,4.31315041,26.45000076,1,0.5861757755485608,0.2662762185482621,0.5059190021707866,0.0,0.49207492562024,-0.17945528836066205,3,3,0
27,4.30028009,4.30952454,26.44000053,1,0.7912328869828539,0.263855198415055,0.5057113130818479,0.0,0.6331362321739378,-0.10783894977403385,3,3,1
28,4.95820999,4.31360722,26.45000076,1,0.9124323572036838,0.26658123395340594,0.5059190021707866,0.0,0.7145118306504048,-0.06263769453378878,3,3,1
29,0.60926098,3.93992329,50.20000076,2,0.11129789587368084,0.01706971865201723,0.999169243644246,0.029411764705882353,-0.005248151934853587,-0.6497845319201635,6,1,0
30,2.13463998,3.93699813,43.59999847,2,0.39229306980631307,0.01511656775227399,0.8620975500329666,0.029411764705882353,0.2642980379808048,-0.5122506931522998,6,1,0
31,2.68838,3.93587065,26.45000076,2,0.49429937331079243,0.01436374104315652,0.5059190021707866,0.029411764705882353,0.5343008720605086,-0.3762829837802022,3,3,0
32,2.93816996,3.93745518,26.45000076,2,0.5403140183641366,0.01542174340718816,0.5059190021707866,0.029411764705882353,0.5652302153971765,-0.35908327608869844,3,3,0
33,3.36490011,3.94196463,26.44000053,2,0.6189234083724875,0.018432736421192697,0.5057113130818479,0.029411764705882353,0.6176601958700839,-0.32878325336016906,3,3,1
